"HolderAddress","Balance","PendingBalanceUpdate"
"0x20c40b5d80d51201e10ecd75c9366d6e786782c7","0.011417804","No"
"0xfadbd651faac50e2198bd4e546439bdb52a023b5","1180483.00682367","No"
"0x121466d299c28aa710011da56a73cb3ec2d4462d","19068.888620924","No"
"0xb3a33f74bd5735070a02190cebcfb36375df16cd","4591346490.33758","No"
"0x7b12744e5909698ecc9681052af6df11c828cb75","38163.100365208","No"
"0x327f9a59b0f1037b8acc1a9b4c3a9cf2cca8db9d","451940095.497272","No"
"0x943fbbc1f2d8806966482ce5d93623c4ff1aca76","5709405298.21849","No"
"0x12e5a1f28b57d0e45b6159efcf28a115d329c884","44744488.4576487","No"
"0x522dfe9c66f4cda514c4aebf475a143f7a949a7d","162105.844822238","No"
"0x10265ae39ddbacefe9e5e4de74c5cfc0a6c2a1e4","199024.675603506","No"
